img_id;marker_type;intensity;folder_name;pose;rvec;tvec;n_valid;corners;ids;rvec_est;tvec_est
1p_2;260.0;110.0;0.0;190.0;2.1301581545216086,-2.1301581545216086,-0.18636469003794462;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;200.0;2.0316234541167617,-2.0316234541167617,-0.358230029600911;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;210.0;1.9268745076764489,-1.9268745076764489,-0.5163044682480217;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;220.0;1.8167914428100655,-1.8167914428100655,-0.6612580070524107;43.86500000000001,122.62,40.74;1;2000.1003,2335.0723,2021.1779,2304.7993,2107.7217,2324.291,2080.7585,2353.953;5.0;;
1p_2;260.0;110.0;0.0;230.0;1.702124139177739,-1.702124139177739,-0.7937135212290641;43.86500000000001,122.62,40.74;1;2000.6309,2328.1487,2021.2762,2297.7676,2098.15,2327.5637,2072.1348,2357.5715;5.0;;
1p_2;260.0;110.0;0.0;240.0;1.5835145342643517,-1.5835145342643517,-0.9142425426232077;43.86500000000001,122.62,40.74;0;;;;
1p_2;260.0;110.0;0.0;250.0;1.4615151460729763,-1.4615151460729763,-1.023363922487963;43.86500000000001,122.62,40.74;1;2007.2715,2315.3762,2027.9187,2283.0276,2078.9104,2332.3936,2053.607,2361.709;5.0;;
1p_2;260.0;160.0;0.0;110.0;-1.4615151460729765,1.4615151460729767,-1.0233639224879634;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;120.0;-1.5835145342643513,1.5835145342643513,-0.914242542623208;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;130.0;-1.7021241391777393,1.7021241391777393,-0.7937135212290645;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;140.0;-1.8167914428100647,1.8167914428100647,-0.6612580070524112;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;150.0;-1.926874507676449,1.9268745076764493,-0.5163044682480216;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;160.0;-2.0316234541167613,2.0316234541167613,-0.35823002960091005;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;170.0;-2.1301581545216086,2.1301581545216086,-0.18636469003794207;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;180.0;2.221441469079183,-2.221441469079183,0.0;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;190.0;2.1301581545216086,-2.1301581545216086,-0.18636469003794462;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;200.0;2.0316234541167617,-2.0316234541167617,-0.358230029600911;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;210.0;1.9268745076764489,-1.9268745076764489,-0.5163044682480217;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;220.0;1.8167914428100655,-1.8167914428100655,-0.6612580070524107;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;230.0;1.702124139177739,-1.702124139177739,-0.7937135212290641;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;240.0;1.5835145342643517,-1.5835145342643517,-0.9142425426232077;-6.134999999999991,122.62,40.74;0;;;;
1p_2;260.0;160.0;0.0;250.0;1.4615151460729763,-1.4615151460729763,-1.023363922487963;-6.134999999999991,122.62,40.74;0;;;;
1p_2;210.0;160.0;0.0;110.0;-1.4615151460729765,1.4615151460729767,-1.0233639224879634;-6.134999999999991,72.62,40.74;1;1643.0,2290.0,1642.3772,2228.7107,1703.21,2131.4812,1698.2437,2199.1797;5.0;;
1p_2;210.0;160.0;0.0;120.0;-1.5835145342643513,1.5835145342643513,-0.914242542623208;-6.134999999999991,72.62,40.74;1;1624.782,2287.9116,1622.3507,2230.2727,1710.5397,2140.241,1705.0969,2206.394;5.0;;
1p_2;210.0;160.0;0.0;130.0;-1.7021241391777393,1.7021241391777393,-0.7937135212290645;-6.134999999999991,72.62,40.74;1;1607.4923,2286.335,1603.0192,2228.8296,1715.2444,2149.7983,1709.8754,2214.6455;5.0;;
1p_2;210.0;160.0;0.0;140.0;-1.8167914428100647,1.8167914428100647,-0.6612580070524112;-6.134999999999991,72.62,40.74;1;1591.371,2282.7236,1584.1427,2225.4268,1717.4011,2160.3833,1712.35,2223.0806;5.0;;
1p_2;210.0;160.0;0.0;150.0;-1.926874507676449,1.9268745076764493,-0.5163044682480216;-6.134999999999991,72.62,40.74;1;1576.0258,2277.6704,1566.8906,2219.5542,1717.0863,2170.5745,1712.5558,2231.8757;5.0;;
1p_2;210.0;160.0;0.0;160.0;-2.0316234541167613,2.0316234541167613,-0.35823002960091005;-6.134999999999991,72.62,40.74;1;1562.4888,2270.4731,1551.8295,2211.012,1714.1222,2180.379,1709.5093,2241.4822;5.0;;
1p_2;210.0;160.0;0.0;170.0;-2.1301581545216086,2.1301581545216086,-0.18636469003794207;-6.134999999999991,72.62,40.74;1;1552.1088,2262.3752,1539.2488,2202.3313,1708.1226,2189.6692,1703.7891,2250.8916;5.0;;
1p_2;210.0;160.0;0.0;180.0;2.221441469079183,-2.221441469079183,0.0;-6.134999999999991,72.62,40.74;1;1544.1702,2253.0574,1530.216,2191.6277,1698.5947,2199.2017,1696.3381,2258.743;5.0;;
1p_2;210.0;160.0;0.0;190.0;2.1301581545216086,-2.1301581545216086,-0.18636469003794462;-6.134999999999991,72.62,40.74;1;1538.4377,2242.9487,1523.9955,2180.803,1687.0,2207.0,1686.4868,2266.012;5.0;;
1p_2;210.0;160.0;0.0;200.0;2.0316234541167617,-2.0316234541167617,-0.358230029600911;-6.134999999999991,72.62,40.74;1;1535.5786,2232.3677,1521.4528,2170.416,1673.5292,2214.9536,1674.35,2272.3318;5.0;;
1p_2;210.0;160.0;0.0;210.0;1.9268745076764489,-1.9268745076764489,-0.5163044682480217;-6.134999999999991,72.62,40.74;1;1535.6766,2222.182,1522.0032,2158.091,1657.7128,2219.082,1660.7166,2276.6543;5.0;;
1p_2;210.0;160.0;0.0;220.0;1.8167914428100655,-1.8167914428100655,-0.6612580070524107;-6.134999999999991,72.62,40.74;1;1538.5137,2211.9473,1524.9047,2147.284,1640.5933,2221.9905,1645.5939,2279.6472;5.0;;
1p_2;210.0;160.0;0.0;230.0;1.702124139177739,-1.702124139177739,-0.7937135212290641;-6.134999999999991,72.62,40.74;1;1543.8208,2202.3088,1530.8416,2136.584,1623.7604,2222.4092,1630.9515,2280.4844;5.0;;
1p_2;210.0;160.0;0.0;240.0;1.5835145342643517,-1.5835145342643517,-0.9142425426232077;-6.134999999999991,72.62,40.74;1;1552.085,2193.9941,1540.0,2127.0,1606.6953,2222.6182,1615.0684,2279.6992;5.0;;
